"event_date","events","active_users","sessions"
2023-02-01 08:00:02,2,1,1
2023-02-01 08:01:16,1,1,1
2023-02-01 08:01:42,2,1,1
2023-02-01 08:01:46,2,1,1
2023-02-01 08:01:48,2,1,1
2023-02-01 08:01:56,2,1,1
2023-02-01 08:02:05,2,1,1
2023-02-01 08:29:34,2,1,1
2023-02-01 08:30:26,1,1,1
2023-02-01 08:30:42,2,1,1
2023-02-01 08:47:23,2,1,1
2023-02-01 08:48:15,1,1,1
2023-02-01 08:48:30,2,1,1
2023-02-01 08:48:34,2,1,1
2023-02-01 08:48:39,2,1,1
2023-02-01 08:48:46,2,1,1
2023-02-01 08:48:55,2,1,1
2023-02-01 08:48:59,2,1,1
2023-02-01 08:49:11,2,1,1
2023-02-01 08:49:16,3,1,1
2023-02-01 08:49:26,3,1,1
2023-02-01 08:49:32,2,1,1
2023-02-01 08:49:45,2,1,1
2023-02-01 08:50:14,3,1,1
2023-02-01 08:50:36,1,1,1
2023-02-01 08:51:00,2,1,1
2023-02-01 08:51:04,2,1,1
2023-02-01 08:51:12,1,1,1
2023-02-01 09:03:20,2,1,1
2023-02-01 09:04:34,1,1,1
2023-02-01 09:04:44,2,1,1
2023-02-01 09:04:51,2,1,1
2023-02-01 09:04:55,2,1,1
2023-02-01 09:05:04,2,1,1
2023-02-01 09:05:14,2,1,1
2023-02-01 09:05:19,2,1,1
2023-02-01 09:05:30,2,1,1
2023-02-01 09:05:35,3,1,1
2023-02-01 09:05:49,3,1,1
2023-02-01 09:05:57,2,1,1
2023-02-01 09:06:42,3,1,1
2023-02-01 09:06:50,2,1,1
2023-02-01 09:07:36,3,1,1
2023-02-01 09:07:49,2,1,1
2023-02-01 09:08:45,3,1,1
2023-02-01 09:08:53,2,1,1
2023-02-01 09:09:01,2,1,1
2023-02-01 09:09:43,3,1,1
2023-02-01 09:09:54,2,1,1
2023-02-01 09:10:12,1,1,1
2023-02-01 09:10:25,2,1,1
2023-02-01 09:10:30,2,1,1
2023-02-01 09:10:36,2,1,1
2023-02-01 09:11:19,4,1,1
2023-02-01 09:20:36,2,1,1
2023-02-01 09:22:09,1,1,1
2023-02-01 09:22:37,2,1,1
2023-02-01 09:22:40,2,1,1
2023-02-01 09:22:45,2,1,1
2023-02-01 09:22:57,1,1,1
2023-02-01 09:22:58,2,1,1
2023-02-01 09:24:06,1,1,1
2023-02-01 09:24:17,2,1,1
2023-02-01 09:24:20,2,1,1
2023-02-01 09:24:23,2,1,1
2023-02-01 09:24:32,2,1,1
2023-02-01 09:24:39,2,1,1
2023-02-01 09:24:41,1,1,1
2023-02-01 09:36:25,2,1,1
2023-02-01 09:37:41,1,1,1
2023-02-01 09:37:50,2,1,1
2023-02-01 09:37:57,2,1,1
2023-02-01 09:38:02,2,1,1
2023-02-01 09:38:09,2,1,1
2023-02-01 09:38:18,2,1,1
2023-02-01 09:38:27,2,1,1
2023-02-01 09:38:39,2,1,1
2023-02-01 09:38:46,3,1,1
2023-02-01 09:38:54,3,1,1
2023-02-01 09:39:05,2,1,1
2023-02-01 09:39:39,3,1,1
2023-02-01 09:59:13,2,1,1
2023-02-01 10:00:05,1,1,1
2023-02-01 10:00:31,2,1,1
2023-02-01 10:00:36,2,1,1
2023-02-01 10:00:42,2,1,1
2023-02-01 10:00:54,2,1,1
2023-02-01 10:01:04,2,1,1
2023-02-01 10:01:17,2,1,1
2023-02-01 10:18:21,2,1,1
2023-02-01 10:19:50,1,1,1
2023-02-01 10:20:18,2,1,1
