"user_id","step_number"
1000001,1
1000001,2
1000001,3
1000001,4
1000006,1
1000006,2
1000006,3
1000006,4
1000006,5
1000006,6
1000006,7
1000007,1
1000008,1
1000008,2
1000008,3
1000008,4
1000008,5
1000008,6
1000008,7
1000009,1
1000009,2
1000011,1
1000011,2
1000012,1
1000012,2
1000012,3
1000012,4
1000014,1
1000014,2
1000014,3
1000014,4
1000014,5
1000014,6
1000014,7
1000016,1
1000016,2
1000016,3
1000016,4
1000016,5
1000019,1
1000019,2
1000019,3
1000021,1
1000021,2
1000021,3
1000021,4
1000022,1
1000022,2
1000022,3
1000022,4
1000022,5
1000022,6
1000022,7
1000023,1
1000023,2
1000023,3
1000023,4
1000023,5
1000023,6
1000023,7
1000027,1
1000027,2
1000027,3
1000027,4
1000027,5
1000027,6
1000027,7
1000028,1
1000028,2
1000028,3
1000028,4
1000028,5
1000028,6
1000028,7
1000030,1
1000030,2
1000030,3
1000030,4
1000030,5
1000030,6
1000030,7
1000031,1
1000031,2
1000031,3
1000031,4
1000031,5
1000032,1
1000032,2
1000032,3
1000032,4
1000032,5
1000033,1
1000033,2
1000033,3
1000033,4
1000033,5
1000033,6
1000033,7
1000035,1
1000035,2
1000037,1
1000037,2
1000038,1
1000038,2
1000038,3
1000038,4
1000038,5
1000038,6
1000038,7
1000042,1
1000042,2
1000042,3
1000042,4
1000042,5
1000042,6
1000042,7
1000044,1
1000044,2
1000044,3
1000044,4
1000044,5
1000044,6
1000044,7
1000045,1
1000045,2
1000046,1
1000046,2
1000046,3
1000046,4
1000048,1
1000048,2
1000048,3
1000048,4
1000056,1
1000056,2
1000056,3
1000056,4
1000061,1
1000061,2
1000061,3
1000061,4
1000061,5
1000061,6
1000061,7
1000062,1
1000062,2
1000062,3
1000062,4
1000062,5
1000062,6
1000062,7
1000063,1
1000063,2
1000063,3
1000063,4
1000063,5
1000063,6
1000063,7
1000064,1
1000064,2
1000064,3
1000064,4
1000064,5
1000064,6
1000064,7
1000070,1
1000070,2
1000070,3
1000070,4
1000070,5
1000070,6
1000070,7
1000071,1
1000071,2
1000071,3
1000071,4
1000074,1
1000074,2
1000075,1
1000075,2
1000075,3
1000075,4
1000075,5
1000075,6
1000075,7
1000076,1
1000076,2
1000076,3
1000076,4
1000076,5
1000076,6
1000076,7
1000078,1
1000078,2
1000078,3
1000078,4
1000078,5
1000079,1
1000079,2
1000079,3
1000079,4
1000079,5
1000079,6
1000079,7
1000080,1
1000080,2
1000080,3
1000080,4
1000080,5
1000080,6
1000080,7
1000081,1
1000081,2
1000082,1
1000083,1
1000083,2
1000083,3
1000083,4
1000083,5
1000083,6
1000083,7
1000084,1
1000084,2
1000085,1
1000085,2
1000085,3
1000085,4
1000085,5
1000085,6
1000085,7
1000086,1
1000086,2
1000086,3
1000086,4
1000086,5
1000086,6
1000086,7
1000087,1
1000094,1
1000094,2
1000094,3
1000094,4
1000094,5
1000094,6
1000094,7
1000098,1
1000098,2
1000098,3
1000098,4
1000099,1
1000099,2
1000105,1
1000105,2
1000105,3
1000105,4
1000108,1
1000108,2
1000108,3
1000108,4
1000108,5
1000108,6
1000108,7
1000109,1
1000109,2
1000109,3
1000109,4
1000110,1
1000112,1
1000112,2
1000112,3
1000112,4
1000112,5
1000112,6
1000112,7
1000113,1
1000113,2
1000113,3
1000113,4
1000113,5
1000113,6
1000115,1
1000115,2
1000115,3
1000115,4
1000115,5
1000115,6
1000115,7
1000118,1
1000118,2
1000120,1
1000120,2
1000120,3
1000120,4
1000129,1
1000129,2
1000129,3
1000129,4
1000129,5
1000129,6
1000129,7
1000130,1
1000130,2
1000130,3
1000130,4
1000130,5
1000130,6
1000130,7
1000134,1
1000134,2
1000134,3
1000134,4
1000134,5
1000134,6
1000134,7
1000135,1
1000135,2
1000135,3
1000135,4
1000135,5
1000135,6
1000136,1
1000136,2
1000136,3
1000138,1
1000138,2
1000138,3
1000138,4
1000138,5
1000138,6
1000138,7
1000144,1
1000144,2
1000144,3
1000144,4
1000144,5
1000144,6
1000144,7
1000146,1
1000146,2
1000146,3
1000154,1
1000154,2
1000154,3
1000154,4
1000156,1
1000156,2
1000157,1
1000157,2
1000157,3
1000157,4
1000157,5
1000158,1
1000158,2
1000158,3
1000158,4
1000158,5
1000158,6
1000158,7
1000160,1
1000160,2
1000160,3
1000160,4
1000160,5
1000160,6
1000160,7
1000161,1
1000161,2
1000161,3
1000161,4
1000161,5
1000161,6
1000161,7
1000166,1
1000166,2
1000167,1
1000167,2
1000167,3
1000167,4
1000167,5
1000167,6
1000167,7
1000173,1
1000173,2
1000173,3
1000175,1
1000175,2
1000175,3
1000177,1
1000177,2
1000177,3
1000177,4
1000177,5
1000177,6
1000178,1
1000178,2
1000178,3
1000178,4
1000178,5
1000178,6
1000178,7
1000179,1
1000179,2
1000179,3
1000179,4
1000179,5
1000179,6
1000179,7
1000180,1
1000181,1
1000181,2
1000181,3
1000181,4
1000181,5
1000181,6
1000181,7
1000183,1
1000187,1
1000187,2
1000187,3
1000187,4
1000188,1
1000188,2
1000188,3
1000188,4
1000188,5
1000188,6
1000188,7
1000190,1
1000190,2
1000190,3
1000190,4
1000190,5
1000190,6
1000190,7
1000201,1
1000201,2
1000201,3
1000201,4
1000201,5
1000201,6
1000201,7
1000203,1
1000203,2
1000203,3
1000203,4
1000203,5
1000203,6
1000203,7
1000204,1
1000204,2
1000204,3
1000204,4
1000204,5
1000204,6
1000204,7
1000205,1
1000206,1
1000206,2
1000206,3
1000206,4
1000208,1
1000208,2
1000208,3
1000208,4
1000208,5
1000208,6
1000208,7
1000210,1
1000210,2
1000212,1
1000212,2
1000212,3
1000213,1
1000213,2
1000215,1
1000215,2
1000215,3
1000215,4
1000215,5
1000215,6
1000215,7
1000216,1
1000216,2
1000218,1
1000218,2
1000218,3
1000218,4
1000218,5
1000218,6
1000218,7
1000221,1
1000221,2
1000221,3
1000221,4
1000222,1
1000222,2
1000222,3
1000223,1
1000223,2
1000223,3
1000223,4
1000223,5
1000223,6
1000223,7
1000228,1
1000228,2
1000229,1
1000229,2
1000229,3
1000229,4
1000230,1
1000230,2
1000230,3
1000230,4
1000230,5
1000230,6
1000230,7
1000233,1
1000233,2
1000233,3
1000233,4
1000233,5
1000233,6
1000233,7
1000236,1
1000236,2
1000236,3
1000236,4
1000236,5
1000237,1
1000237,2
1000237,3
1000237,4
1000237,5
1000237,6
1000237,7
1000240,1
1000240,2
1000240,3
1000240,4
1000240,5
1000243,1
1000243,2
1000243,3
1000244,1
1000244,2
1000244,3
1000244,4
1000244,5
1000244,6
1000244,7
1000245,1
1000245,2
1000245,3
1000245,4
1000245,5
1000245,6
1000245,7
1000246,1
1000246,2
1000246,3
1000246,4
1000246,5
1000246,6
1000255,1
1000255,2
1000255,3
1000255,4
1000255,5
1000255,6
1000255,7
1000256,1
1000256,2
1000256,3
1000256,4
1000256,5
1000256,6
1000256,7
1000257,1
1000257,2
1000260,1
1000260,2
1000260,3
1000260,4
1000260,5
1000260,6
1000260,7
1000261,1
1000261,2
1000261,3
1000261,4
1000261,5
1000261,6
1000261,7
1000262,1
1000262,2
1000262,3
1000262,4
1000262,5
1000262,6
1000262,7
1000263,1
1000263,2
1000263,3
1000263,4
1000263,5
1000263,6
1000263,7
1000268,1
1000268,2
1000268,3
1000268,4
1000268,5
1000268,6
1000269,1
1000269,2
1000272,1
1000272,2
1000272,3
1000272,4
1000272,5
1000274,1
1000274,2
1000274,3
1000285,1
1000285,2
1000285,3
1000285,4
1000285,5
1000285,6
1000287,1
1000287,2
1000287,3
1000287,4
1000288,1
1000288,2
1000288,3
1000288,4
1000288,5
1000288,6
1000288,7
1000290,1
1000290,2
1000290,3
1000290,4
1000290,5
1000290,6
1000290,7
1000292,1
1000292,2
1000292,3
1000292,4
1000292,5
1000292,6
1000292,7
1000293,1
1000293,2
1000293,3
1000293,4
1000293,5
1000293,6
1000295,1
1000295,2
1000295,3
1000295,4
1000295,5
1000295,6
1000296,1
1000296,2
1000296,3
1000297,1
1000297,2
1000299,1
1000299,2
1000299,3
1000299,4
1000299,5
1000299,6
1000299,7
1000301,1
1000301,2
1000303,1
1000303,2
1000303,3
1000303,4
1000303,5
1000303,6
1000303,7
1000306,1
1000306,2
1000306,3
1000309,1
1000309,2
1000309,3
1000309,4
1000311,1
1000311,2
1000311,3
1000311,4
1000311,5
1000311,6
1000311,7
1000312,1
1000312,2
1000312,3
1000312,4
1000314,1
1000314,2
1000314,3
1000314,4
1000315,1
1000315,2
1000315,3
1000317,1
1000317,2
1000317,3
1000317,4
1000317,5
1000317,6
1000317,7
1000320,1
1000321,1
1000321,2
1000321,3
1000321,4
1000321,5
1000321,6
1000321,7
1000322,1
1000327,1
1000327,2
1000327,3
1000327,4
1000327,5
1000327,6
1000327,7
1000330,1
1000330,2
1000331,1
1000336,1
1000336,2
1000336,3
1000336,4
1000336,5
1000336,6
1000336,7
1000338,1
1000338,2
1000339,1
1000339,2
1000339,3
1000339,4
1000339,5
1000339,6
1000339,7
1000340,1
1000340,2
1000340,3
1000340,4
1000341,1
1000341,2
1000342,1
1000342,2
1000345,1
1000346,1
1000346,2
1000346,3
1000347,1
1000347,2
1000347,3
1000347,4
1000347,5
1000348,1
1000348,2
1000348,3
1000348,4
1000348,5
1000348,6
1000348,7
1000350,1
1000350,2
1000351,1
1000351,2
1000351,3
1000351,4
1000352,1
1000352,2
1000352,3
1000352,4
1000354,1
1000354,2
1000354,3
1000354,4
1000354,5
1000354,6
1000354,7
1000357,1
1000357,2
1000357,3
1000357,4
1000357,5
1000357,6
1000358,1
1000358,2
1000358,3
1000358,4
1000358,5
1000358,6
1000358,7
1000360,1
1000360,2
1000360,3
1000360,4
1000360,5
1000360,6
1000360,7
1000362,1
1000367,1
1000367,2
1000367,3
1000367,4
1000367,5
1000367,6
1000367,7
1000371,1
1000371,2
1000374,1
1000375,1
1000375,2
1000375,3
1000375,4
1000375,5
1000375,6
1000375,7
1000377,1
1000377,2
1000377,3
1000377,4
1000377,5
1000377,6
1000377,7
1000378,1
1000378,2
1000378,3
1000378,4
1000378,5
1000378,6
1000383,1
1000383,2
1000383,3
1000383,4
1000383,5
1000386,1
1000386,2
1000386,3
1000386,4
1000386,5
1000386,6
1000386,7
1000388,1
1000388,2
1000389,1
1000389,2
1000389,3
1000389,4
1000389,5
1000389,6
1000389,7
1000390,1
1000390,2
1000390,3
1000390,4
1000390,5
1000390,6
1000390,7
1000395,1
1000395,2
1000396,1
1000397,1
1000399,1
1000399,2
1000399,3
1000399,4
1000399,5
1000399,6
1000399,7
1000400,1
1000400,2
1000400,3
1000400,4
1000400,5
1000400,6
1000402,1
1000402,2
1000402,3
1000402,4
1000402,5
1000402,6
1000402,7
1000405,1
1000405,2
1000405,3
1000405,4
1000405,5
1000406,1
1000406,2
1000407,1
1000407,2
1000408,1
1000408,2
1000408,3
1000408,4
1000408,5
1000408,6
1000408,7
1000409,1
1000409,2
1000409,3
1000409,4
1000410,1
1000410,2
1000410,3
1000410,4
1000410,5
1000410,6
1000410,7
1000411,1
1000411,2
1000411,3
1000411,4
1000411,5
1000411,6
1000411,7
1000414,1
1000414,2
1000414,3
1000414,4
1000414,5
1000414,6
1000414,7
1000415,1
1000415,2
1000415,3
1000415,4
1000415,5
1000415,6
1000415,7
1000421,1
1000421,2
1000421,3
1000426,1
1000426,2
1000426,3
1000426,4
1000426,5
1000426,6
1000426,7
1000428,1
1000428,2
1000428,3
1000428,4
1000428,5
1000428,6
1000428,7
1000432,1
1000432,2
1000432,3
1000432,4
1000432,5
1000432,6
1000432,7
1000433,1
1000433,2
1000433,3
1000433,4
1000433,5
1000433,6
1000433,7
1000435,1
1000435,2
1000435,3
1000436,1
1000436,2
1000436,3
1000436,4
1000436,5
1000436,6
1000436,7
1000437,1
1000437,2
1000437,3
1000437,4
1000437,5
1000437,6
1000437,7
1000440,1
1000440,2
1000440,3
1000440,4
1000440,5
1000440,6
1000440,7
1000441,1
1000442,1
1000442,2
1000442,3
1000442,4
1000444,1
1000444,2
1000444,3
1000444,4
1000444,5
1000444,6
1000444,7
1000449,1
1000449,2
1000449,3
1000449,4
1000449,5
1000449,6
1000449,7
1000450,1
1000450,2
1000450,3
1000451,1
1000451,2
1000451,3
1000451,4
1000451,5
1000451,6
1000451,7
1000452,1
1000455,1
1000455,2
1000455,3
1000455,4
1000455,5
1000455,6
1000455,7
1000458,1
1000458,2
1000458,3
1000458,4
1000460,1
1000460,2
1000460,3
1000460,4
1000460,5
1000460,6
1000460,7
1000462,1
1000462,2
1000462,3
1000462,4
1000462,5
1000462,6
1000462,7
1000464,1
1000464,2
1000464,3
1000464,4
1000464,5
1000464,6
1000464,7
1000468,1
1000468,2
1000468,3
1000468,4
1000468,5
1000468,6
1000468,7
1000469,1
1000469,2
1000469,3
1000469,4
1000469,5
1000469,6
1000469,7
1000473,1
1000473,2
1000473,3
1000473,4
1000476,1
1000476,2
1000478,1
1000478,2
1000478,3
1000479,1
1000479,2
1000479,3
1000479,4
1000479,5
1000479,6
1000479,7
1000480,1
1000480,2
1000480,3
1000480,4
1000480,5
1000480,6
1000480,7
1000483,1
1000483,2
1000483,3
1000483,4
1000483,5
1000483,6
1000483,7
1000487,1
1000487,2
1000487,3
1000487,4
1000487,5
1000488,1
1000488,2
1000488,3
1000489,1
1000489,2
1000489,3
1000490,1
1000490,2
1000491,1
1000491,2
1000491,3
1000491,4
1000491,5
1000491,6
1000491,7
1000498,1
1000498,2
1000498,3
1000498,4
1000498,5
1000498,6
1000498,7
1000499,1
1000499,2
1000499,3
1000499,4
1000499,5
1000499,6
1000499,7
1000501,1
1000501,2
1000501,3
1000501,4
1000504,1
1000504,2
1000506,1
1000507,1
1000507,2
1000509,1
1000509,2
1000509,3
1000515,1
1000515,2
1000515,3
1000515,4
1000515,5
1000515,6
1000515,7
1000517,1
1000517,2
1000517,3
1000517,4
1000517,5
1000520,1
1000520,2
1000520,3
1000521,1
1000521,2
1000521,3
1000521,4
1000521,5
1000521,6
1000521,7
1000527,1
1000527,2
1000527,3
1000528,1
1000528,2
1000528,3
1000528,4
1000528,5
1000528,6
1000528,7
1000538,1
1000538,2
1000538,3
1000538,4
1000538,5
1000540,1
1000540,2
1000540,3
1000542,1
1000542,2
1000542,3
1000542,4
1000542,5
1000542,6
1000542,7
1000546,1
1000546,2
1000548,1
1000548,2
1000548,3
1000548,4
1000548,5
1000548,6
1000548,7
1000551,1
1000551,2
1000551,3
1000551,4
1000554,1
1000554,2
1000554,3
1000554,4
1000556,1
1000556,2
1000556,3
1000556,4
1000556,5
1000557,1
1000557,2
1000557,3
1000557,4
1000557,5
1000557,6
1000557,7
1000558,1
1000558,2
1000558,3
1000558,4
1000558,5
1000558,6
1000558,7
1000562,1
1000562,2
1000562,3
1000562,4
1000562,5
1000562,6
1000562,7
1000563,1
1000563,2
1000563,3
1000563,4
1000563,5
1000564,1
1000564,2
1000564,3
1000564,4
1000564,5
1000564,6
1000575,1
1000575,2
1000575,3
1000575,4
1000575,5
1000575,6
1000575,7
1000576,1
1000577,1
1000577,2
1000577,3
1000577,4
1000577,5
1000577,6
1000577,7
1000578,1
1000579,1
1000581,1
1000581,2
1000582,1
1000582,2
1000584,1
1000584,2
1000584,3
1000585,1
1000585,2
1000585,3
1000585,4
1000585,5
1000585,6
1000585,7
1000587,1
1000587,2
1000587,3
1000589,1
1000589,2
1000589,3
1000594,1
1000594,2
1000594,3
1000594,4
1000594,5
1000595,1
1000595,2
1000595,3
1000595,4
1000595,5
1000595,6
1000595,7
1000596,1
1000596,2
1000596,3
1000596,4
1000600,1
1000600,2
1000601,1
1000601,2
1000601,3
1000601,4
1000601,5
1000601,6
1000601,7
1000602,1
1000603,1
1000603,2
1000603,3
1000603,4
1000603,5
1000603,6
1000604,1
1000604,2
1000604,3
1000608,1
1000608,2
1000608,3
1000608,4
1000611,1
1000611,2
1000611,3
1000611,4
1000611,5
1000616,1
1000616,2
1000617,1
1000617,2
1000617,3
1000619,1
1000619,2
1000619,3
1000619,4
1000619,5
1000619,6
1000620,1
1000620,2
1000620,3
1000620,4
1000622,1
1000622,2
1000622,3
1000622,4
1000622,5
1000622,6
1000622,7
1000623,1
1000623,2
1000623,3
1000623,4
1000623,5
1000623,6
1000623,7
1000624,1
1000624,2
1000626,1
1000626,2
1000626,3
1000626,4
1000626,5
1000626,6
1000626,7
1000627,1
1000627,2
1000627,3
1000627,4
1000627,5
1000627,6
1000627,7
1000629,1
1000629,2
1000629,3
1000629,4
1000629,5
1000629,6
1000629,7
1000632,1
1000633,1
1000635,1
1000635,2
1000635,3
1000635,4
1000635,5
1000635,6
1000635,7
1000636,1
1000636,2
1000636,3
1000637,1
1000637,2
1000637,3
1000637,4
1000637,5
1000637,6
1000637,7
1000638,1
1000638,2
1000638,3
1000638,4
1000638,5
1000638,6
1000638,7
1000643,1
1000643,2
1000644,1
1000644,2
1000644,3
1000644,4
1000644,5
1000644,6
1000644,7
1000648,1
1000648,2
1000648,3
1000648,4
1000648,5
1000648,6
1000648,7
1000650,1
1000650,2
1000650,3
1000651,1
1000651,2
1000651,3
1000651,4
1000651,5
1000651,6
1000652,1
1000652,2
1000652,3
1000652,4
1000652,5
1000652,6
1000652,7
1000654,1
1000654,2
1000655,1
1000655,2
1000655,3
1000655,4
1000655,5
1000657,1
1000659,1
1000659,2
1000659,3
1000660,1
1000660,2
1000660,3
1000660,4
1000660,5
1000660,6
1000660,7
1000662,1
1000662,2
1000662,3
1000662,4
1000662,5
1000662,6
1000662,7
1000666,1
1000666,2
1000670,1
1000671,1
1000671,2
1000671,3
1000671,4
1000671,5
1000671,6
1000671,7
1000672,1
1000672,2
1000672,3
1000672,4
1000672,5
1000672,6
1000672,7
1000674,1
1000674,2
1000674,3
1000674,4
1000674,5
1000674,6
1000674,7
1000675,1
1000675,2
1000675,3
1000675,4
1000675,5
1000675,6
1000675,7
1000677,1
1000677,2
1000677,3
1000677,4
1000677,5
1000677,6
1000677,7
1000678,1
1000678,2
1000678,3
1000678,4
1000678,5
1000678,6
1000680,1
1000680,2
1000680,3
1000680,4
1000680,5
1000680,6
1000680,7
1000683,1
1000684,1
1000684,2
1000684,3
1000684,4
1000684,5
1000686,1
1000686,2
1000686,3
1000686,4
1000687,1
1000687,2
1000687,3
1000687,4
1000687,5
1000687,6
1000687,7
1000688,1
1000689,1
1000689,2
1000689,3
1000689,4
1000689,5
1000689,6
1000689,7
1000690,1
1000690,2
1000690,3
1000690,4
1000690,5
1000690,6
1000690,7
1000692,1
1000692,2
1000692,3
1000692,4
1000693,1
1000693,2
1000693,3
1000693,4
1000693,5
1000693,6
1000693,7
1000694,1
1000694,2
1000694,3
1000694,4
1000694,5
1000694,6
1000694,7
1000699,1
1000699,2
1000699,3
1000699,4
1000699,5
1000699,6
1000699,7
1000700,1
1000700,2
1000700,3
1000700,4
1000700,5
1000700,6
1000700,7
1000702,1
1000702,2
1000702,3
1000702,4
1000702,5
1000702,6
1000702,7
1000703,1
1000703,2
1000703,3
1000704,1
1000704,2
1000704,3
1000704,4
1000704,5
1000704,6
1000704,7
1000706,1
1000706,2
1000706,3
1000706,4
1000706,5
1000706,6
1000710,1
1000710,2
1000710,3
1000710,4
1000710,5
1000710,6
1000710,7
1000711,1
1000711,2
1000711,3
1000711,4
1000711,5
1000711,6
1000711,7
1000712,1
1000712,2
1000712,3
1000712,4
1000712,5
1000712,6
1000712,7
1000713,1
1000714,1
1000714,2
1000714,3
1000714,4
1000714,5
1000714,6
1000714,7
1000716,1
1000716,2
1000716,3
1000716,4
1000716,5
1000716,6
1000716,7
1000717,1
1000717,2
1000717,3
1000717,4
1000717,5
1000718,1
1000718,2
1000718,3
