"user_id","country","platform_type","type_traffic","payer","total_revenue","max_level","amount_gold","amount_bronze_cup","amount_silver_cup","amount_gold_cup","install_date"
"1000001",ES,android,organic,0,0.0,0,0,0,0,0,2023-02-01 08:00:02
"1000004",RU,android,organic,0,0.0,0,0,0,0,0,2023-02-01 08:29:34
"1000006",CA,iOS,organic,0,0.0,2,650,0,0,0,2023-02-01 08:47:23
"1000007",GE,android,organic,0,0.0,0,0,0,0,0,2023-02-01 08:49:45
"1000008",RU,iOS,organic,0,0.0,10,3050,0,0,0,2023-02-01 09:03:20
"1000009",LT,android,paid,0,0.0,0,0,0,0,0,2023-02-01 09:09:01
"1000011",CA,android,organic,0,0.0,0,0,0,0,0,2023-02-01 09:20:36
"1000012",IT,android,paid,0,0.0,0,0,0,0,0,2023-02-01 09:22:58
"1000014",KZ,android,organic,0,0.0,2,650,0,0,0,2023-02-01 09:36:25
"1000016",GE,iOS,paid,0,0.0,0,0,0,0,0,2023-02-01 09:59:13
"1000019",CA,android,organic,0,0.0,0,0,0,0,0,2023-02-01 10:18:21
"1000021",RU,iOS,paid,0,0.0,0,0,0,0,0,2023-02-01 10:41:09
"1000022",US,android,organic,0,0.0,12,4050,0,0,0,2023-02-01 10:46:50
"1000023",PL,iOS,organic,0,0.0,2,750,0,0,0,2023-02-01 11:00:25
"1000027",KZ,android,organic,0,0.0,1,50,0,0,0,2023-02-01 11:26:17
"1000028",ES,android,organic,1,99.0,9,2750,0,0,0,2023-02-01 11:31:58
"1000030",KZ,android,organic,0,0.0,2,650,0,0,0,2023-02-01 11:40:26
"1000031",PL,android,organic,0,0.0,0,0,0,0,0,2023-02-01 11:44:40
"1000032",GE,iOS,organic,0,0.0,0,0,0,0,0,2023-02-01 11:48:54
"1000033",RU,android,organic,0,0.0,2,650,0,0,0,2023-02-01 12:02:29
"1000035",PL,android,paid,0,0.0,0,0,0,0,0,2023-02-01 12:29:39
"1000036",KZ,iOS,organic,0,0.0,0,0,0,0,0,2023-02-01 12:38:52
"1000037",RU,android,organic,0,0.0,0,0,0,0,0,2023-02-01 12:52:27
"1000038",KZ,iOS,paid,0,0.0,3,750,0,0,0,2023-02-01 12:58:08
"1000042",IT,iOS,organic,0,0.0,4,950,0,0,0,2023-02-01 13:33:46
"1000043",ES,android,organic,0,0.0,0,0,0,0,0,2023-02-01 13:42:59
"1000044",KZ,android,organic,0,0.0,1,50,0,0,0,2023-02-01 13:52:12
