"platform_type","user_id","session_id","version","purchase_number","purchase_time","item","offer_id","price","level"
android,"1000028",a1000028ES2,"1.01",1,2023-02-02 11:31:44,shop,"13",99.0,9
android,"1000079",a1000079PL2,"1.01",1,2023-02-02 18:43:35,offer,"61",299.0,8
iOS,"1000208",i1000208RU1,"1.01",1,2023-02-02 12:33:32,shop,"42",399.0,3
iOS,"1000358",i1000358US2,"1.01",1,2023-02-04 08:09:12,offer,"61",299.0,8
android,"1000399",a1000399RU2,"1.01",1,2023-02-03 14:40:51,shop,"23",199.0,5
iOS,"1000444",i1000444RU2,"1.01",1,2023-02-04 19:32:33,offer,"61",299.0,8
iOS,"1000449",i1000449KZ2,"1.01",1,2023-02-04 20:20:19,shop,"13",99.0,9
android,"1000521",a1000521RU1,"1.01",1,2023-02-04 07:25:41,shop,"42",399.0,3
android,"1000629",a1000629US2,"1.01",1,2023-02-05 21:53:36,shop,"13",99.0,9
android,"1000660",a1000660GE2,"1.01",1,2023-02-05 03:08:13,shop,"23",199.0,5
android,"1000677",a1000677RU1,"1.01",1,2023-02-05 04:35:05,shop,"42",399.0,2
android,"1000694",a1000694RU1,"1.01",1,2023-02-05 07:10:07,shop,"42",399.0,3
iOS,"1000710",i1000710IT1,"1.01",1,2023-02-05 09:45:47,shop,"42",399.0,3
iOS,"1000716",i1000716DE1,"1.01",1,2023-02-05 10:23:59,shop,"42",399.0,2
iOS,"1000765",i1000765CA2,"1.01",1,2023-02-05 18:14:18,shop,"23",199.0,5
android,"1000874",a1000874PL1,"1.01",1,2023-02-06 08:43:12,subscription,"51",499.0,2
iOS,"1001015",i1001015RU2,"1.01",1,2023-02-08 03:26:15,shop,"13",99.0,9
android,"1001116",a1001116BY2,"1.01",1,2023-02-08 17:25:32,offer,"61",299.0,8
android,"1001191",a1001191RU2,"1.01",1,2023-02-09 03:13:16,offer,"61",299.0,8
android,"1001209",a1001209LT2,"1.01",1,2023-02-09 06:10:03,shop,"13",99.0,9
iOS,"1001247",i1001247BY1,"1.02",1,2023-02-08 11:54:28,shop,"42",399.0,3
android,"1001434",a1001434US1,"1.02",1,2023-02-09 14:23:06,shop,"42",399.0,3
iOS,"1001506",i1001506RU1,"1.02",1,2023-02-10 00:57:45,subscription,"51",499.0,2
android,"1001558",a1001558US2,"1.02",1,2023-02-11 07:40:07,offer,"61",299.0,8
iOS,"1001661",i1001661US1,"1.02",1,2023-02-10 21:26:08,shop,"42",399.0,3
android,"1001665",a1001665PL2,"1.02",1,2023-02-11 21:21:19,shop,"13",99.0,9
iOS,"1001712",i1001712IT1,"1.02",1,2023-02-11 04:10:40,shop,"42",399.0,2
android,"1001804",a1001804ES1,"1.02",1,2023-02-11 17:05:41,shop,"42",399.0,2
android,"1001818",a1001818US2,"1.02",1,2023-02-12 18:56:55,offer,"61",299.0,8
iOS,"1001859",i1001859RU2,"1.02",1,2023-02-13 00:42:34,offer,"61",299.0,8
android,"1001955",a1001955DE2,"1.02",1,2023-02-13 14:08:50,shop,"13",99.0,9
iOS,"1002122",i1002122ES2,"1.02",1,2023-02-14 13:39:39,offer,"61",299.0,8
android,"1002315",a1002315KZ2,"1.02",1,2023-02-14 17:04:11,shop,"23",199.0,5
android,"1002398",a1002398US1,"1.02",1,2023-02-15 03:32:10,subscription,"51",499.0,2
android,"1002402",a1002402NL2,"1.02",1,2023-02-16 03:31:11,shop,"13",99.0,9
iOS,"1002461",i1002461US1,"1.02",1,2023-02-15 12:22:09,shop,"42",399.0,3
