"user_id","session_id","session_number","platform_type","time_start_session","time_finish_session","length_session","amount_get_level","amount_get_gold"
"1000001",a1000001ES1,1,android,2023-02-01 08:01:42,2023-02-01 08:02:05,23,0,0
"1000004",a1000004RU1,1,android,2023-02-01 08:30:42,2023-02-01 08:30:42,0,0,0
"1000006",i1000006CA1,1,iOS,2023-02-01 08:48:30,2023-02-01 08:50:14,104,2,650
"1000007",a1000007GE1,1,android,2023-02-01 08:51:00,2023-02-01 08:51:12,12,0,0
"1000008",i1000008RU1,1,iOS,2023-02-01 09:04:44,2023-02-01 09:11:19,395,6,1050
"1000008",i1000008RU2,2,iOS,2023-02-02 08:38:05,2023-02-02 08:45:35,450,4,2000
"1000009",a1000009LT1,1,android,2023-02-01 09:10:25,2023-02-01 09:10:36,11,0,0
"1000011",a1000011CA1,1,android,2023-02-01 09:22:37,2023-02-01 09:22:57,20,0,0
"1000012",a1000012IT1,1,android,2023-02-01 09:24:17,2023-02-01 09:24:41,24,0,0
"1000014",a1000014KZ1,1,android,2023-02-01 09:37:50,2023-02-01 09:39:39,109,2,650
"1000016",i1000016GE1,1,iOS,2023-02-01 10:00:31,2023-02-01 10:01:17,46,0,0
"1000019",a1000019CA1,1,android,2023-02-01 10:20:18,2023-02-01 10:20:51,33,0,0
"1000021",i1000021RU1,1,iOS,2023-02-01 10:42:42,2023-02-01 10:43:03,21,0,0
"1000022",a1000022US1,1,android,2023-02-01 10:48:49,2023-02-01 10:54:46,357,6,1050
"1000022",a1000022US2,2,android,2023-02-02 10:23:33,2023-02-02 10:31:09,456,5,2000
"1000022",a1000022US3,3,android,2023-02-03 10:11:28,2023-02-03 10:14:00,152,1,1000
"1000023",i1000023PL1,1,iOS,2023-02-01 11:02:01,2023-02-01 11:05:01,180,2,750
"1000027",a1000027KZ1,1,android,2023-02-01 11:27:30,2023-02-01 11:28:19,49,1,50
"1000028",a1000028ES1,1,android,2023-02-01 11:33:35,2023-02-01 11:39:50,375,6,1050
"1000028",a1000028ES2,2,android,2023-02-02 11:26:52,2023-02-02 11:31:44,292,3,1700
"1000030",a1000030KZ1,1,android,2023-02-01 11:41:58,2023-02-01 11:43:36,98,2,650
"1000031",a1000031PL1,1,android,2023-02-01 11:46:04,2023-02-01 11:46:42,38,0,0
"1000032",i1000032GE1,1,iOS,2023-02-01 11:50:53,2023-02-01 11:51:37,44,0,0
"1000033",a1000033RU1,1,android,2023-02-01 12:03:42,2023-02-01 12:05:33,111,2,650
"1000035",a1000035PL1,1,android,2023-02-01 12:30:51,2023-02-01 12:30:59,8,0,0
"1000036",i1000036KZ1,1,iOS,2023-02-01 12:40:57,2023-02-01 12:40:57,0,0,0
"1000037",a1000037RU1,1,android,2023-02-01 12:53:35,2023-02-01 12:53:42,7,0,0
"1000038",i1000038KZ1,1,iOS,2023-02-01 12:59:47,2023-02-01 13:02:23,156,3,750
"1000042",i1000042IT1,1,iOS,2023-02-01 13:35:08,2023-02-01 13:39:57,289,4,950
"1000043",a1000043ES1,1,android,2023-02-01 13:44:55,2023-02-01 13:45:01,6,0,0
"1000044",a1000044KZ1,1,android,2023-02-01 13:54:03,2023-02-01 13:54:47,44,1,50
"1000045",i1000045ES1,1,iOS,2023-02-01 14:07:47,2023-02-01 14:07:53,6,0,0
"1000046",i1000046RU1,1,iOS,2023-02-01 14:16:42,2023-02-01 14:17:15,33,0,0
"1000048",i1000048RU1,1,iOS,2023-02-01 14:31:19,2023-02-01 14:31:42,23,0,0
"1000053",a1000053IT1,1,android,2023-02-01 15:06:54,2023-02-01 15:06:54,0,0,0
"1000054",a1000054ES1,1,android,2023-02-01 15:16:38,2023-02-01 15:16:38,0,0,0
"1000055",a1000055KZ1,1,android,2023-02-01 15:20:18,2023-02-01 15:20:18,0,0,0
"1000056",a1000056CA1,1,android,2023-02-01 15:25:58,2023-02-01 15:26:28,30,0,0
"1000061",a1000061RU1,1,android,2023-02-01 16:06:14,2023-02-01 16:12:23,369,6,1050
"1000061",a1000061RU2,2,android,2023-02-02 15:26:22,2023-02-02 15:33:37,435,4,2000
"1000062",a1000062RU1,1,android,2023-02-01 16:19:44,2023-02-01 16:21:16,92,2,650
"1000063",i1000063PL1,1,iOS,2023-02-01 16:23:40,2023-02-01 16:25:21,101,2,650
"1000064",a1000064RU1,1,android,2023-02-01 16:29:49,2023-02-01 16:31:19,90,2,650
"1000065",i1000065RU1,1,iOS,2023-02-01 16:31:44,2023-02-01 16:31:51,7,0,0
"1000068",a1000068RU1,1,android,2023-02-01 16:53:02,2023-02-01 16:53:02,0,0,0
"1000070",a1000070NL1,1,android,2023-02-01 17:02:19,2023-02-01 17:07:07,288,4,950
"1000071",a1000071CA1,1,android,2023-02-01 17:08:10,2023-02-01 17:08:34,24,0,0
"1000073",i1000073US1,1,iOS,2023-02-01 17:26:47,2023-02-01 17:26:47,0,0,0
"1000074",a1000074IT1,1,android,2023-02-01 17:40:32,2023-02-01 17:40:40,8,0,0
"1000075",a1000075KZ1,1,android,2023-02-01 17:46:35,2023-02-01 17:48:07,92,2,650
"1000076",i1000076RU1,1,iOS,2023-02-01 17:59:21,2023-02-01 18:05:05,344,6,1050
